trip_id,line_id,start_station_id,end_station_id,scheduled_departure_time,is_peak_hour,is_delayed,delay_minutes,is_cancelled
0,S42,S1,S6,2024-08-16 02:31:00,False,False,1,False
1,S2,S4,S7,2024-02-02 18:31:00,True,False,2,False
2,S42,S3,S5,2024-10-11 00:03:00,False,False,1,False
3,S1,S5,S7,2024-08-20 02:04:00,False,False,1,False
4,S7,S5,S6,2024-05-26 03:54:00,False,False,0,False
5,S2,S8,S6,2024-08-26 21:15:00,False,False,1,False
6,S41,S6,S3,2024-06-06 07:19:00,True,False,3,False
7,S2,S2,S7,2024-07-23 22:25:00,False,False,1,False
8,S2,S10,S3,2024-07-10 23:56:00,False,False,1,False
9,S2,S6,S8,2024-12-21 10:01:00,False,False,1,False
10,S41,S8,S6,2024-08-26 06:18:00,True,False,3,False
11,S5,S1,S6,2024-02-03 15:53:00,False,False,0,False
12,S2,S4,S5,2024-12-16 06:04:00,True,False,2,False
13,S2,S10,S4,2024-04-29 10:09:00,False,False,1,False
14,S41,S2,S6,2024-07-09 03:46:00,False,False,1,False
15,S1,S6,S2,2024-10-15 03:43:00,False,False,1,False
16,S7,S8,S10,2024-05-10 09:01:00,True,False,4,False
18,S41,S7,S1,2024-08-09 14:05:00,False,False,1,False
19,S41,S3,S6,2024-11-17 06:55:00,True,False,2,False
20,S42,S9,S2,2024-11-20 02:34:00,False,False,2,False
21,S41,S8,S5,2024-07-09 09:29:00,True,False,4,False
22,S7,S10,S6,2024-03-07 06:39:00,True,False,3,False
23,S42,S10,S5,2024-08-10 16:30:00,True,False,2,False
24,S5,S9,S4,2024-12-28 04:53:00,False,False,1,False
25,S2,S3,S5,2024-10-14 13:19:00,False,False,1,False
26,S42,S7,S2,2024-01-21 22:25:00,False,False,0,False
27,S2,S2,S9,2024-10-28 05:38:00,False,False,1,False
28,S42,S1,S2,2024-03-13 03:34:00,False,False,1,False
29,S41,S8,S4,2024-04-15 10:39:00,False,False,2,False
30,S2,S2,S6,2024-07-28 16:17:00,True,False,1,False
31,S42,S4,S1,2024-08-10 00:54:00,False,False,0,False
32,S5,S1,S2,2024-02-06 10:30:00,False,False,1,False
33,S2,S9,S4,2024-12-17 12:07:00,False,False,2,False
34,S42,S6,S1,2024-05-17 23:29:00,False,False,2,False
35,S1,S3,S7,2024-08-14 05:20:00,False,False,2,False
36,S5,S3,S7,2024-03-10 16:41:00,True,False,1,False
37,S41,S10,S2,2024-10-03 18:31:00,True,False,4,False
38,S42,S9,S10,2024-03-14 12:39:00,False,False,1,False
39,S1,S3,S8,2024-12-17 02:23:00,False,False,1,False
40,S5,S7,S10,2024-09-04 02:53:00,False,False,1,False
41,S42,S8,S2,2024-08-19 12:41:00,False,False,1,False
42,S1,S10,S9,2024-11-08 02:46:00,False,False,1,False
43,S5,S9,S5,2024-08-28 00:55:00,False,False,1,False
44,S7,S7,S2,2024-12-01 09:39:00,True,False,0,False
45,S2,S2,S6,2024-09-26 16:42:00,True,False,2,False
46,S7,S1,S5,2024-05-04 00:48:00,False,False,1,False
47,S41,S1,S6,2024-08-23 02:50:00,False,False,2,False
48,S7,S5,S3,2024-02-23 08:51:00,True,False,3,False
49,S2,S4,S10,2024-02-26 05:22:00,False,False,1,False
50,S42,S5,S6,2024-09-22 11:22:00,False,False,0,False
51,S5,S10,S1,2024-06-26 18:45:00,True,False,3,False
52,S42,S8,S4,2024-09-22 02:56:00,False,False,0,False
53,S1,S8,S7,2024-01-19 02:45:00,False,False,1,False
54,S5,S8,S5,2024-07-27 11:50:00,False,False,3,False
55,S5,S10,S8,2024-01-19 03:56:00,False,False,3,False
56,S1,S9,S1,2024-05-30 07:05:00,True,False,2,False
57,S1,S4,S7,2024-05-20 15:16:00,False,False,2,False
58,S1,S5,S8,2024-05-09 09:54:00,True,False,2,False
59,S7,S8,S3,2024-08-20 00:27:00,False,False,1,False
62,S1,S9,S5,2024-11-15 20:15:00,False,False,2,False
63,S7,S2,S6,2024-09-08 13:16:00,False,False,0,False
64,S2,S2,S1,2024-09-20 01:04:00,False,False,1,False
66,S41,S3,S6,2024-11-09 13:11:00,False,False,3,False
68,S42,S10,S8,2024-07-14 12:35:00,False,False,0,False
69,S41,S9,S7,2024-06-12 08:49:00,True,False,4,False
70,S7,S10,S8,2024-07-03 12:52:00,False,False,1,False
71,S7,S5,S10,2024-11-28 15:01:00,False,False,1,False
72,S1,S7,S6,2024-08-30 22:01:00,False,False,1,False
73,S5,S8,S4,2024-06-03 09:31:00,True,False,2,False
75,S1,S7,S10,2024-10-01 01:13:00,False,False,1,False
76,S5,S10,S1,2024-07-15 03:17:00,False,False,2,False
77,S7,S10,S2,2024-07-25 17:24:00,True,False,2,False
78,S5,S3,S4,2024-12-03 03:37:00,False,False,1,False
79,S42,S9,S8,2024-03-20 10:23:00,False,False,2,False
80,S5,S3,S9,2024-03-21 18:33:00,True,False,2,False
81,S41,S2,S9,2024-11-16 11:41:00,False,False,0,False
82,S2,S9,S5,2024-03-08 17:44:00,True,False,2,False
83,S1,S10,S7,2024-03-10 13:11:00,False,False,0,False
84,S7,S1,S8,2024-03-19 02:17:00,False,False,1,False
85,S2,S1,S5,2024-12-23 17:11:00,True,False,2,False
86,S5,S8,S3,2024-09-30 20:32:00,False,False,1,False
87,S7,S5,S3,2024-10-07 07:09:00,True,False,2,False
89,S5,S9,S3,2024-09-30 20:53:00,False,False,1,False
90,S41,S6,S2,2024-11-22 22:42:00,False,False,2,False
91,S1,S10,S1,2024-07-19 06:09:00,True,False,3,False
94,S1,S10,S2,2024-03-01 15:33:00,False,False,1,False
95,S41,S9,S6,2024-10-25 20:36:00,False,False,1,False
96,S5,S8,S7,2024-12-25 18:14:00,True,False,2,False
97,S2,S3,S1,2024-04-21 23:18:00,False,False,0,False
98,S1,S8,S2,2024-04-14 00:19:00,False,False,0,False
99,S7,S5,S6,2024-05-11 17:21:00,True,False,0,False
100,S5,S9,S7,2024-06-07 18:09:00,True,False,3,False
101,S7,S5,S7,2024-02-15 12:47:00,False,False,1,False
102,S42,S6,S9,2024-10-19 12:30:00,False,False,0,False
103,S1,S10,S8,2024-06-12 09:10:00,True,False,4,False
104,S5,S10,S3,2024-08-16 19:14:00,True,False,5,False
105,S2,S2,S10,2024-06-17 08:56:00,True,False,2,False
106,S5,S10,S1,2024-01-21 02:16:00,False,False,0,False
107,S5,S4,S10,2024-01-11 19:34:00,True,False,4,False
108,S41,S1,S5,2024-09-07 12:09:00,False,False,0,False
109,S1,S1,S4,2024-05-24 22:23:00,False,False,3,False
111,S1,S9,S3,2024-04-20 21:43:00,False,False,0,False
113,S5,S4,S6,2024-04-22 17:04:00,True,False,3,False
114,S7,S2,S7,2024-12-21 16:03:00,True,False,0,False
115,S42,S4,S6,2024-02-02 11:42:00,False,False,2,False
116,S42,S1,S3,2024-07-19 21:45:00,False,False,2,False
118,S41,S9,S7,2024-12-17 02:45:00,False,False,1,False
119,S42,S4,S9,2024-02-02 03:40:00,False,False,1,False
120,S42,S2,S9,2024-09-02 00:10:00,False,False,2,False
122,S41,S1,S10,2024-11-09 19:06:00,True,False,1,False
123,S7,S9,S5,2024-06-18 03:32:00,False,False,3,False
124,S5,S5,S1,2024-10-27 09:32:00,True,False,2,False
125,S5,S9,S7,2024-08-05 08:01:00,True,False,3,False
126,S1,S7,S5,2024-12-25 08:59:00,True,False,2,False
127,S1,S8,S5,2024-07-25 02:17:00,False,False,1,False
128,S5,S5,S9,2024-08-03 21:04:00,False,False,0,False
129,S5,S6,S2,2024-08-26 04:56:00,False,False,1,False
130,S5,S5,S3,2024-07-27 06:06:00,True,False,1,False
131,S5,S2,S4,2024-11-12 23:31:00,False,False,2,False
132,S42,S10,S3,2024-07-11 18:42:00,True,False,5,False
133,S7,S3,S4,2024-04-02 17:07:00,True,False,4,False
134,S41,S2,S3,2024-04-20 23:28:00,False,False,0,False
135,S2,S5,S4,2024-01-21 19:52:00,True,False,2,False
137,S1,S6,S9,2024-08-10 00:30:00,False,False,0,False
138,S42,S9,S6,2024-03-20 09:58:00,True,False,3,False
139,S42,S3,S6,2024-12-02 15:25:00,False,False,1,False
140,S42,S10,S3,2024-01-20 06:43:00,True,False,1,False
142,S7,S1,S6,2024-10-27 19:03:00,True,False,1,False
143,S2,S8,S9,2024-09-23 13:51:00,False,False,1,False
144,S7,S10,S8,2024-06-25 20:54:00,False,True,60,False
145,S41,S6,S9,2024-06-06 13:29:00,False,False,1,False
146,S2,S7,S4,2024-12-25 11:20:00,False,False,2,False
147,S1,S2,S1,2024-07-03 00:13:00,False,False,3,False
148,S41,S7,S1,2024-07-02 08:59:00,True,False,3,False
149,S41,S9,S8,2024-01-28 18:20:00,True,False,1,False
150,S41,S10,S2,2024-01-07 13:20:00,False,False,0,False
151,S2,S10,S7,2024-02-20 23:35:00,False,False,1,False
152,S41,S5,S7,2024-12-29 02:13:00,False,False,1,False
153,S7,S6,S2,2024-03-15 05:00:00,False,True,23,False
154,S7,S9,S10,2024-05-28 18:00:00,True,False,4,False
155,S2,S1,S10,2024-09-05 06:31:00,True,False,2,False
156,S41,S3,S8,2024-08-18 10:00:00,False,False,0,False
157,S42,S7,S3,2024-11-21 21:49:00,False,False,2,False
159,S2,S10,S9,2024-05-31 05:28:00,False,False,1,False
160,S41,S10,S7,2024-02-05 19:29:00,True,False,3,False
161,S1,S10,S9,2024-03-27 01:15:00,False,False,1,False
162,S42,S2,S1,2024-02-21 16:47:00,True,False,4,False
163,S1,S5,S7,2024-12-28 17:16:00,True,False,1,False
166,S7,S7,S6,2024-12-07 09:27:00,True,False,0,False
167,S41,S10,S8,2024-10-31 04:24:00,False,False,3,False
168,S41,S1,S7,2024-12-01 23:41:00,False,False,1,False
169,S1,S10,S6,2024-03-21 12:13:00,False,False,1,False
170,S41,S1,S7,2024-07-16 16:04:00,True,False,5,False
172,S2,S9,S4,2024-04-07 12:05:00,False,False,0,False
173,S7,S5,S1,2024-02-16 04:33:00,False,False,1,False
174,S7,S5,S1,2024-04-19 15:22:00,False,False,1,False
175,S1,S3,S7,2024-02-20 04:18:00,False,False,1,False
176,S42,S8,S5,2024-05-27 09:58:00,True,False,3,False
177,S2,S4,S3,2024-07-10 05:21:00,False,False,1,False
178,S5,S10,S2,2024-06-26 07:54:00,True,False,2,False
179,S7,S4,S5,2024-10-29 01:46:00,False,False,2,False
181,S42,S2,S9,2024-02-01 10:32:00,False,False,2,False
182,S5,S8,S7,2024-02-27 16:13:00,True,False,3,False
183,S7,S1,S8,2024-10-10 15:14:00,False,False,1,False
184,S5,S3,S4,2024-01-27 03:13:00,False,False,0,False
185,S2,S7,S6,2024-05-07 05:44:00,False,False,1,False
186,S7,S4,S1,2024-10-28 03:30:00,False,False,1,False
188,S7,S3,S7,2024-11-23 11:29:00,False,False,0,False
189,S1,S9,S2,2024-08-20 16:05:00,True,False,3,False
190,S41,S2,S5,2024-08-12 08:26:00,True,False,4,False
191,S7,S6,S3,2024-12-25 19:39:00,True,False,2,False
