timestamp,temperature_c,precipitation_mm,wind_speed_kmh,weather_condition
2024-01-01 00:00:00,17.48,0.0,6.41,Clear
2024-01-01 01:00:00,14.31,0.0,31.96,Stormy
2024-01-01 02:00:00,18.24,2.74,0.0,Clear
2024-01-01 03:00:00,22.62,0.81,29.55,Clear
2024-01-01 04:00:00,13.83,0.0,14.55,Clear
2024-01-01 05:00:00,13.83,4.05,25.03,Clear
2024-01-01 06:00:00,22.9,1.56,18.64,Clear
2024-01-01 07:00:00,18.84,1.16,18.46,Clear
2024-01-01 08:00:00,12.65,3.34,20.54,Clear
2024-01-01 09:00:00,17.71,0.0,23.09,Clear
2024-01-01 10:00:00,12.68,5.71,11.71,Rainy
2024-01-01 11:00:00,12.67,0.0,25.35,Clear
2024-01-01 12:00:00,16.21,2.97,4.16,Clear
2024-01-01 13:00:00,5.43,5.3,14.95,Rainy
2024-01-01 14:00:00,6.38,0.0,23.36,Clear
2024-01-01 15:00:00,12.19,0.0,24.95,Clear
2024-01-01 16:00:00,9.94,4.43,19.61,Clear
2024-01-01 17:00:00,16.57,4.47,11.07,Clear
2024-01-01 18:00:00,10.46,0.49,23.97,Clear
2024-01-01 19:00:00,7.94,0.0,8.31,Clear
2024-01-01 20:00:00,22.33,3.87,32.51,Stormy
2024-01-01 21:00:00,13.87,4.55,14.15,Clear
2024-01-01 22:00:00,15.34,0.0,0.0,Clear
2024-01-01 23:00:00,7.88,0.0,3.05,Clear
2024-01-02 00:00:00,12.28,1.68,15.44,Clear
2024-01-02 01:00:00,15.55,2.89,16.4,Clear
2024-01-02 02:00:00,9.25,0.1,34.7,Stormy
2024-01-02 03:00:00,16.88,3.04,4.62,Clear
2024-01-02 04:00:00,12.0,0.0,15.39,Clear
2024-01-02 05:00:00,13.54,0.0,4.41,Clear
2024-01-02 06:00:00,11.99,0.0,10.07,Clear
2024-01-02 07:00:00,24.26,1.19,31.84,Stormy
2024-01-02 08:00:00,14.93,0.17,3.64,Clear
2024-01-02 09:00:00,9.71,0.0,20.87,Clear
2024-01-02 10:00:00,19.11,0.0,18.93,Clear
2024-01-02 11:00:00,8.9,0.0,14.76,Clear
2024-01-02 12:00:00,16.04,3.69,20.19,Clear
2024-01-02 13:00:00,5.2,4.77,3.4,Clear
2024-01-02 14:00:00,8.36,4.56,31.56,Stormy
2024-01-02 15:00:00,15.98,0.0,34.25,Stormy
2024-01-02 16:00:00,18.69,0.0,15.47,Clear
2024-01-02 17:00:00,15.86,2.49,39.23,Stormy
2024-01-02 18:00:00,14.42,2.91,11.01,Clear
2024-01-02 19:00:00,13.49,2.2,19.0,Clear
2024-01-02 20:00:00,7.61,0.0,29.32,Clear
2024-01-02 21:00:00,11.4,0.0,10.41,Clear
2024-01-02 22:00:00,12.7,0.91,1.18,Clear
2024-01-02 23:00:00,20.29,2.46,0.0,Clear
2024-01-03 00:00:00,16.72,3.3,35.61,Stormy
2024-01-03 01:00:00,6.18,1.43,9.71,Clear
2024-01-03 02:00:00,16.62,1.99,13.14,Clear
2024-01-03 03:00:00,13.07,1.25,3.87,Clear
2024-01-03 04:00:00,11.62,3.06,24.48,Clear
2024-01-03 05:00:00,18.06,1.94,7.18,Clear
2024-01-03 06:00:00,20.15,1.2,10.09,Clear
2024-01-03 07:00:00,19.66,0.19,18.0,Clear
2024-01-03 08:00:00,10.8,1.24,4.36,Clear
2024-01-03 09:00:00,13.45,2.45,13.21,Clear
2024-01-03 10:00:00,16.66,1.8,29.02,Clear
2024-01-03 11:00:00,19.88,2.14,19.28,Clear
2024-01-03 12:00:00,12.6,5.03,16.31,Rainy
2024-01-03 13:00:00,14.07,1.8,17.15,Clear
2024-01-03 14:00:00,9.47,0.0,11.11,Clear
2024-01-03 15:00:00,9.02,3.65,34.96,Stormy
2024-01-03 16:00:00,19.06,0.0,6.88,Clear
2024-01-03 17:00:00,21.78,0.0,17.11,Clear
2024-01-03 18:00:00,14.64,2.01,16.15,Clear
2024-01-03 19:00:00,20.02,2.55,25.09,Clear
2024-01-03 20:00:00,16.81,0.0,26.03,Clear
2024-01-03 21:00:00,11.77,0.0,14.68,Clear
2024-01-03 22:00:00,16.81,0.0,17.91,Clear
2024-01-03 23:00:00,22.69,0.0,18.29,Clear
2024-01-04 00:00:00,14.82,3.83,0.0,Clear
2024-01-04 01:00:00,22.82,3.12,0.0,Clear
2024-01-04 02:00:00,1.9,0.94,8.95,Clear
2024-01-04 03:00:00,19.11,0.0,9.38,Clear
2024-01-04 04:00:00,15.44,0.0,3.01,Clear
2024-01-04 05:00:00,13.5,5.26,22.5,Rainy
2024-01-04 06:00:00,15.46,2.78,15.02,Clear
2024-01-04 07:00:00,5.06,0.0,12.85,Clear
2024-01-04 08:00:00,13.9,3.16,2.44,Clear
2024-01-04 09:00:00,16.79,0.79,14.55,Clear
2024-01-04 10:00:00,22.39,0.14,0.0,Clear
2024-01-04 11:00:00,12.41,2.31,13.37,Clear
2024-01-04 12:00:00,10.96,0.0,15.63,Clear
2024-01-04 13:00:00,12.49,0.0,17.42,Clear
2024-01-04 14:00:00,19.58,1.36,0.0,Clear
2024-01-04 15:00:00,16.64,0.0,17.25,Clear
2024-01-04 16:00:00,12.35,3.01,4.59,Clear
2024-01-04 17:00:00,17.57,6.61,6.88,Rainy
2024-01-04 18:00:00,15.49,0.0,22.18,Clear
2024-01-04 19:00:00,19.84,0.0,35.14,Stormy
2024-01-04 20:00:00,11.49,0.0,15.51,Clear
2024-01-04 21:00:00,13.36,0.55,6.83,Clear
2024-01-04 22:00:00,13.04,0.0,16.89,Clear
2024-01-04 23:00:00,7.68,1.62,24.39,Clear
2024-01-05 00:00:00,16.48,1.4,21.21,Clear
2024-01-05 01:00:00,16.31,0.0,42.43,Stormy
2024-01-05 02:00:00,15.03,0.0,7.85,Clear
2024-01-05 03:00:00,13.83,1.89,17.52,Clear
2024-01-05 04:00:00,7.92,1.41,30.49,Stormy
2024-01-05 05:00:00,12.9,0.0,29.86,Clear
2024-01-05 06:00:00,13.29,0.0,0.0,Clear
2024-01-05 07:00:00,10.99,2.41,14.97,Clear
2024-01-05 08:00:00,14.19,4.82,29.85,Clear
2024-01-05 09:00:00,17.02,1.83,43.91,Stormy
2024-01-05 10:00:00,24.43,0.0,22.04,Clear
2024-01-05 11:00:00,15.87,1.13,11.32,Clear
2024-01-05 12:00:00,16.29,0.0,4.91,Clear
2024-01-05 13:00:00,14.63,4.17,37.19,Stormy
2024-01-05 14:00:00,5.41,1.25,22.29,Clear
2024-01-05 15:00:00,14.87,0.0,6.52,Clear
2024-01-05 16:00:00,15.3,0.1,12.97,Clear
2024-01-05 17:00:00,27.32,2.39,18.1,Clear
2024-01-05 18:00:00,14.04,0.0,20.44,Clear
2024-01-05 19:00:00,16.51,0.17,6.0,Clear
2024-01-05 20:00:00,14.83,0.0,8.86,Clear
2024-01-05 21:00:00,9.16,2.7,0.0,Clear
2024-01-05 22:00:00,20.71,0.0,25.4,Clear
2024-01-05 23:00:00,18.76,0.0,11.58,Clear
2024-01-06 00:00:00,18.96,0.0,19.66,Clear
2024-01-06 01:00:00,10.45,3.94,29.22,Clear
2024-01-06 02:00:00,22.01,0.0,17.2,Clear
2024-01-06 03:00:00,7.99,6.21,13.87,Rainy
2024-01-06 04:00:00,17.93,2.29,16.94,Clear
2024-01-06 05:00:00,25.95,2.02,15.63,Clear
2024-01-06 06:00:00,10.05,0.61,27.46,Clear
2024-01-06 07:00:00,12.17,0.8,18.11,Clear
2024-01-06 08:00:00,15.5,0.21,9.56,Clear
2024-01-06 09:00:00,12.48,0.09,25.48,Clear
2024-01-06 10:00:00,7.25,2.59,27.3,Clear
2024-01-06 11:00:00,15.34,0.0,1.62,Clear
2024-01-06 12:00:00,9.69,0.0,30.33,Stormy
2024-01-06 13:00:00,17.37,0.0,18.65,Clear
2024-01-06 14:00:00,10.4,7.14,17.83,Rainy
2024-01-06 15:00:00,22.75,2.59,25.07,Clear
2024-01-06 16:00:00,11.08,1.91,9.33,Clear
2024-01-06 17:00:00,13.39,0.0,24.54,Clear
2024-01-06 18:00:00,19.07,2.87,11.23,Clear
2024-01-06 19:00:00,8.85,0.65,0.25,Clear
2024-01-06 20:00:00,16.14,1.64,5.02,Clear
2024-01-06 21:00:00,21.54,0.0,20.67,Clear
2024-01-06 22:00:00,6.96,1.48,5.55,Clear
2024-01-06 23:00:00,15.92,0.0,31.1,Stormy
2024-01-07 00:00:00,16.3,0.0,26.89,Clear
2024-01-07 01:00:00,18.91,3.2,28.33,Clear
2024-01-07 02:00:00,8.82,0.0,16.25,Clear
2024-01-07 03:00:00,8.4,2.69,17.58,Clear
